generating_institute     gfz-potsdam
     generating_date     2022/10/10
        product_type     gravity_field
                body     earth
           modelname     EGM2008
     max_used_degree          2190
           113.5800     90.0000       13.119617100188
           114.0800     90.0000       13.119617100188
           114.5800     90.0000       13.119617100188
           115.0800     90.0000       13.119617100188
           115.5800     90.0000       13.119617100188
           116.0800     90.0000       13.119617100188
           116.5800     90.0000       13.119617100188
           117.0800     90.0000       13.119617100188
           117.5800     90.0000       13.119617100188
           118.0800     90.0000       13.119617100188
           118.5800     90.0000       13.119617100188
           119.0800     90.0000       13.119617100188
           119.5800     90.0000       13.119617100188
           120.0800     90.0000       13.119617100188
           120.5800     90.0000       13.119617100188
           121.0800     90.0000       13.119617100188
           121.5800     90.0000       13.119617100188
           122.0800     90.0000       13.119617100188
           122.5800     90.0000       13.119617100188
           123.0800     90.0000       13.119617100188
           123.5800     90.0000       13.119617100188
           124.0800     90.0000       13.119617100188
           124.5800     90.0000       13.119617100188
           125.0800     90.0000       13.119617100188
           125.5800     90.0000       13.119617100188
           126.0800     90.0000       13.119617100188
           126.5800     90.0000       13.119617100188
           127.0800     90.0000       13.119617100188
           127.5800     90.0000       13.119617100188
           128.0800     90.0000       13.119617100188
           128.5800     90.0000       13.119617100188
           129.0800     90.0000       13.119617100188
           129.5800     90.0000       13.119617100188
           130.0800     90.0000       13.119617100188
           130.5800     90.0000       13.119617100188
           131.0800     90.0000       13.119617100188
           131.5800     90.0000       13.119617100188
           132.0800     90.0000       13.119617100188
           132.5800     90.0000       13.119617100188
           133.0800     90.0000       13.119617100188
           133.5800     90.0000       13.119617100188
           134.0800     90.0000       13.119617100188
           134.5800     90.0000       13.119617100188
           135.0800     90.0000       13.119617100188
           135.5800     90.0000       13.119617100188
           136.0800     90.0000       13.119617100188
           136.5800     90.0000       13.119617100188
           137.0800     90.0000       13.119617100188
           137.5800     90.0000       13.119617100188
           138.0800     90.0000       13.119617100188
           138.5800     90.0000       13.119617100188
           139.0800     90.0000       13.119617100188
           139.5800     90.0000       13.119617100188
           140.0800     90.0000       13.119617100188
           140.5800     90.0000       13.119617100188
           141.0800     90.0000       13.119617100188
           141.5800     90.0000       13.119617100188
           142.0800     90.0000       13.119617100188
           142.5800     90.0000       13.119617100188
           143.0800     90.0000       13.119617100188
           143.5800     90.0000       13.119617100188
           144.0800     90.0000       13.119617100188
           144.5800     90.0000       13.119617100188
           145.0800     90.0000       13.119617100188
           145.5800     90.0000       13.119617100188
           146.0800     90.0000       13.119617100188
           146.5800     90.0000       13.119617100188
           147.0800     90.0000       13.119617100188
           147.5800     90.0000       13.119617100188
           148.0800     90.0000       13.119617100188
           148.5800     90.0000       13.119617100188
           149.0800     90.0000       13.119617100188
           149.5800     90.0000       13.119617100188
           150.0800     90.0000       13.119617100188
           150.5800     90.0000       13.119617100188
           151.0800     90.0000       13.119617100188
           151.5800     90.0000       13.119617100188
           152.0800     90.0000       13.119617100188
           152.5800     90.0000       13.119617100188
           153.0800     90.0000       13.119617100188
           153.5800     90.0000       13.119617100188
           154.0800     90.0000       13.119617100188
           154.5800     90.0000       13.119617100188
           155.0800     90.0000       13.119617100188
           155.5800     90.0000       13.119617100188
           156.0800     90.0000       13.119617100188
           156.5800     90.0000       13.119617100188
           157.0800     90.0000       13.119617100188
           157.5800     90.0000       13.119617100188
           158.0800     90.0000       13.119617100188
           158.5800     90.0000       13.119617100188
           159.0800     90.0000       13.119617100188
           159.5800     90.0000       13.119617100188
           160.0800     90.0000       13.119617100188
           160.5800     90.0000       13.119617100188
           161.0800     90.0000       13.119617100188
           161.5800     90.0000       13.119617100188
           162.0800     90.0000       13.119617100188
           162.5800     90.0000       13.119617100188
           163.0800     90.0000       13.119617100188
           163.5800     90.0000       13.119617100188
           164.0800     90.0000       13.119617100188
           164.5800     90.0000       13.119617100188
           165.0800     90.0000       13.119617100188
           165.5800     90.0000       13.119617100188
           166.0800     90.0000       13.119617100188
           166.5800     90.0000       13.119617100188
           167.0800     90.0000       13.119617100188
           167.5800     90.0000       13.119617100188
           168.0800     90.0000       13.119617100188
           168.5800     90.0000       13.119617100188
           169.0800     90.0000       13.119617100188
           169.5800     90.0000       13.119617100188
           170.0800     90.0000       13.119617100188
           170.5800     90.0000       13.119617100188
           171.0800     90.0000       13.119617100188
           171.5800     90.0000       13.119617100188
           172.0800     90.0000       13.119617100188
           172.5800     90.0000       13.119617100188
           173.0800     90.0000       13.119617100188
           173.5800     90.0000       13.119617100188
           174.0800     90.0000       13.119617100188
           174.5800     90.0000       13.119617100188
           175.0800     90.0000       13.119617100188
           175.5800     90.0000       13.119617100188
